subject,roi,phase,condition,beta
14,hc_tail,extinction,CS+,10.635913033226524
14,hc_tail,extinction,CS+,10.635913033226524
14,hc_tail,extinction,CS-,-3.140666278775292
14,hc_tail,extinction,CS-,-3.140666278775292
15,amyg_bla,acquisition,CS+,3.0146805833147936
15,amyg_bla,acquisition,CS-,3.025097568815614
15,amyg_bla,baseline,CS+,-6.680433625836689
15,amyg_bla,baseline,CS-,-2.6132554423302254
15,amyg_bla,extinction,CS+,0.9188626906535494
15,amyg_bla,extinction,CS-,1.6235847836686084
15,amyg_cem,acquisition,CS+,17.433056770099533
15,amyg_cem,acquisition,CS-,30.541766580810414
15,amyg_cem,baseline,CS+,16.929904410107568
15,amyg_cem,baseline,CS-,0.7098156704633224
15,amyg_cem,extinction,CS+,18.59237171130048
15,amyg_cem,extinction,CS-,21.922641689089513
15,hc_body,acquisition,CS+,-11.969410925823073
15,hc_body,acquisition,CS-,-11.358872905341782
15,hc_body,baseline,CS+,-11.2446822312092
15,hc_body,baseline,CS-,-15.937933819777571
15,hc_body,extinction,CS+,-19.52912734302853
15,hc_body,extinction,CS-,-16.51897045649143
15,hc_tail,acquisition,CS+,30.553007231681296
15,hc_tail,acquisition,CS+,30.553007231681296
15,hc_tail,acquisition,CS-,34.60058337556693
15,hc_tail,acquisition,CS-,34.60058337556693
15,hc_tail,baseline,CS+,25.33035475158443
15,hc_tail,baseline,CS+,25.33035475158443
15,hc_tail,baseline,CS-,16.96798062340046
15,hc_tail,baseline,CS-,16.96798062340046
15,hc_tail,extinction,CS+,14.63182910173394
15,hc_tail,extinction,CS+,14.63182910173394
15,hc_tail,extinction,CS-,26.56613346483597
15,hc_tail,extinction,CS-,26.56613346483597
16,amyg_bla,acquisition,CS+,-13.707196290536473
16,amyg_bla,acquisition,CS-,-4.5818597577450175
16,amyg_bla,baseline,CS+,-12.18626475255005
16,amyg_bla,baseline,CS-,-11.365123373677488
16,amyg_bla,extinction,CS+,-6.04652180498223
16,amyg_bla,extinction,CS-,-9.294950416943756
16,amyg_cem,acquisition,CS+,11.82710455954657
16,amyg_cem,acquisition,CS-,7.588478144209755
16,amyg_cem,baseline,CS+,2.30877815495478
16,amyg_cem,baseline,CS-,11.919532259636375
16,amyg_cem,extinction,CS+,15.086068067084694
16,amyg_cem,extinction,CS-,7.221815190588434
16,hc_body,acquisition,CS+,-21.517623564294016
16,hc_body,acquisition,CS-,-18.01582686240796
16,hc_body,baseline,CS+,-28.26167397151631
16,hc_body,baseline,CS-,-17.273724353790932
16,hc_body,extinction,CS+,-19.45151155545544
16,hc_body,extinction,CS-,-15.669463427118322
16,hc_tail,acquisition,CS+,-10.412477825983213
16,hc_tail,acquisition,CS+,-10.412477825983213
16,hc_tail,acquisition,CS-,-1.963557278856826
16,hc_tail,acquisition,CS-,-1.963557278856826
16,hc_tail,baseline,CS+,-7.377698765223613
16,hc_tail,baseline,CS+,-7.377698765223613
16,hc_tail,baseline,CS-,-5.074512317135898
16,hc_tail,baseline,CS-,-5.074512317135898
16,hc_tail,extinction,CS+,-11.600355400065315
16,hc_tail,extinction,CS+,-11.600355400065315
16,hc_tail,extinction,CS-,-2.7688144463806963
16,hc_tail,extinction,CS-,-2.7688144463806963
17,amyg_bla,acquisition,CS+,-7.260859602630788
17,amyg_bla,acquisition,CS-,-15.557859198862419
17,amyg_bla,baseline,CS+,-11.558121972131886
17,amyg_bla,baseline,CS-,-23.791271623434778
17,amyg_bla,extinction,CS+,-6.062222865811728
17,amyg_bla,extinction,CS-,-16.731896823246476
17,amyg_cem,acquisition,CS+,-2.0137647875791624
17,amyg_cem,acquisition,CS-,-7.377483958254258
17,amyg_cem,baseline,CS+,-21.235076954588294
17,amyg_cem,baseline,CS-,-28.466813294051423
17,amyg_cem,extinction,CS+,-5.711604907032516
17,amyg_cem,extinction,CS-,-9.098584726015623
17,hc_body,acquisition,CS+,10.060400976862214
17,hc_body,acquisition,CS-,12.555748813844039
17,hc_body,baseline,CS+,9.873433729058153
17,hc_body,baseline,CS-,12.459085641802055
17,hc_body,extinction,CS+,19.308278304144515
17,hc_body,extinction,CS-,6.894104463041303
17,hc_tail,acquisition,CS+,34.509667873275106
17,hc_tail,acquisition,CS+,34.509667873275106
17,hc_tail,acquisition,CS-,21.300352575750942
17,hc_tail,acquisition,CS-,21.300352575750942
17,hc_tail,baseline,CS+,25.451832546510246
17,hc_tail,baseline,CS+,25.451832546510246
17,hc_tail,baseline,CS-,24.117897047088125
17,hc_tail,baseline,CS-,24.117897047088125
17,hc_tail,extinction,CS+,33.82255605654393
17,hc_tail,extinction,CS+,33.82255605654393
17,hc_tail,extinction,CS-,26.883728196514117
17,hc_tail,extinction,CS-,26.883728196514117
18,amyg_bla,acquisition,CS+,8.511656682093294
18,amyg_bla,acquisition,CS-,7.00657515074886
18,amyg_bla,baseline,CS+,-0.9584343258222026
