subject,roi,phase,condition,beta
19,hc_body,baseline,CS+,-18.7061282590612
19,hc_body,baseline,CS-,-28.441765198347397
19,hc_body,extinction,CS+,-18.108833676946446
19,hc_body,extinction,CS-,-19.12993246623976
19,hc_tail,acquisition,CS+,-0.4839570105886432
19,hc_tail,acquisition,CS-,-2.946969879989478
19,hc_tail,baseline,CS+,-0.3963961788815343
19,hc_tail,baseline,CS-,-10.465105897988435
19,hc_tail,extinction,CS+,3.8788764856893714
19,hc_tail,extinction,CS-,0.9926196949521976
20,amyg_bla,acquisition,CS+,-4.172577511780369
20,amyg_bla,acquisition,CS-,-31.164751548645697
20,amyg_bla,baseline,CS+,-17.24232530703363
20,amyg_bla,baseline,CS-,-21.547587897750407
20,amyg_bla,extinction,CS+,-13.963350300165214
20,amyg_bla,extinction,CS-,-29.205296550560746
20,amyg_cem,acquisition,CS+,-19.682335658269306
20,amyg_cem,acquisition,CS-,-23.24427966609066
20,amyg_cem,baseline,CS+,7.222380597745218
20,amyg_cem,baseline,CS-,7.351632074992273
20,amyg_cem,extinction,CS+,2.566970387925924
20,amyg_cem,extinction,CS-,-9.230062813287779
20,hc_body,acquisition,CS+,-4.7812101459408884
20,hc_body,acquisition,CS-,-17.714224067202593
20,hc_body,baseline,CS+,2.475915487945735
20,hc_body,baseline,CS-,2.2158874395605097
20,hc_body,extinction,CS+,7.558301524114253
20,hc_body,extinction,CS-,0.27750472870839576
20,hc_tail,acquisition,CS+,20.55605539024691
20,hc_tail,acquisition,CS-,-2.708512373942588
20,hc_tail,baseline,CS+,21.144331257685554
20,hc_tail,baseline,CS-,9.584413124813832
20,hc_tail,extinction,CS+,10.201746515908255
20,hc_tail,extinction,CS-,-11.328805882617598
21,amyg_bla,acquisition,CS+,-6.273070118944383
21,amyg_bla,acquisition,CS-,-10.60348845200556
21,amyg_bla,baseline,CS+,-4.487208613615838
21,amyg_bla,baseline,CS-,-4.892254281271333
21,amyg_bla,extinction,CS+,-2.9844123161782767
21,amyg_bla,extinction,CS-,-10.08724857264176
21,amyg_cem,acquisition,CS+,30.45225758792625
21,amyg_cem,acquisition,CS-,9.207350735449127
21,amyg_cem,baseline,CS+,26.556446192496352
21,amyg_cem,baseline,CS-,34.85467586542169
21,amyg_cem,extinction,CS+,26.910637330719165
21,amyg_cem,extinction,CS-,26.135942550112187
21,hc_body,acquisition,CS+,-1.7212182502314617
21,hc_body,acquisition,CS-,-4.52007727464225
21,hc_body,baseline,CS+,2.963045180553268
21,hc_body,baseline,CS-,8.655274281297437
21,hc_body,extinction,CS+,2.844126077021789
21,hc_body,extinction,CS-,-1.1116274906887431
21,hc_tail,acquisition,CS+,27.08158822158256
21,hc_tail,acquisition,CS-,27.07672265076186
21,hc_tail,baseline,CS+,33.868971283953535
21,hc_tail,baseline,CS-,41.318329210727455
21,hc_tail,extinction,CS+,32.10645534914847
21,hc_tail,extinction,CS-,33.467613669434705
23,amyg_bla,acquisition,CS+,-4.1193119808272245
23,amyg_bla,acquisition,CS-,0.8618025052933987
23,amyg_bla,baseline,CS+,1.827336955918134
23,amyg_bla,baseline,CS-,-3.996093668764024
23,amyg_bla,extinction,CS+,1.441689854344704
23,amyg_bla,extinction,CS-,-2.3914433674596633
23,amyg_cem,acquisition,CS+,23.08698411029565
23,amyg_cem,acquisition,CS-,36.16500701266143
23,amyg_cem,baseline,CS+,39.591608509512895
23,amyg_cem,baseline,CS-,36.961398537425424
23,amyg_cem,extinction,CS+,28.371020559587674
23,amyg_cem,extinction,CS-,40.3289968558611
23,hc_body,acquisition,CS+,14.501198949508964
23,hc_body,acquisition,CS-,18.258380301711444
23,hc_body,baseline,CS+,19.867519193674227
23,hc_body,baseline,CS-,14.862108487160064
23,hc_body,extinction,CS+,15.40391494179817
23,hc_body,extinction,CS-,14.31574173022616
23,hc_tail,acquisition,CS+,41.530229979994324
23,hc_tail,acquisition,CS-,46.1483842297857
23,hc_tail,baseline,CS+,33.85443559318141
23,hc_tail,baseline,CS-,35.1878508250861
23,hc_tail,extinction,CS+,44.26274619846031
23,hc_tail,extinction,CS-,43.79967106472362
24,amyg_bla,acquisition,CS+,-24.65549800458169
24,amyg_bla,acquisition,CS-,-32.15742496175571
24,amyg_bla,baseline,CS+,-28.048214176957163
24,amyg_bla,baseline,CS-,-30.683002721325693
24,amyg_bla,extinction,CS+,-28.550416435849822
24,amyg_bla,extinction,CS-,-30.17926848164625
24,amyg_cem,acquisition,CS+,-21.49482107418354
24,amyg_cem,acquisition,CS-,-27.430455882431502
24,amyg_cem,baseline,CS+,-28.91753926466812
24,amyg_cem,baseline,CS-,-20.12377697822986
24,amyg_cem,extinction,CS+,-15.048939570417685
24,amyg_cem,extinction,CS-,-28.9342650646024
24,hc_body,acquisition,CS+,-34.797010380621344
24,hc_body,acquisition,CS-,-35.510603861965464
24,hc_body,baseline,CS+,-43.42423362590593
24,hc_body,baseline,CS-,-34.19955060582097
24,hc_body,extinction,CS+,-40.928512464008996
24,hc_body,extinction,CS-,-36.64420297897475
24,hc_tail,acquisition,CS+,-12.114599521468193
24,hc_tail,acquisition,CS-,-20.463756667280013
24,hc_tail,baseline,CS+,-21.285983074036444
24,hc_tail,baseline,CS-,-19.914157830586763
24,hc_tail,extinction,CS+,-14.960891979582168
24,hc_tail,extinction,CS-,-18.452490672980453
25,amyg_bla,acquisition,CS+,8.28253733982535
25,amyg_bla,acquisition,CS-,19.64091701271499
25,amyg_bla,baseline,CS+,1.0422339827264062
25,amyg_bla,baseline,CS-,-1.834200978189564
25,amyg_bla,extinction,CS+,22.480752782067622
25,amyg_bla,extinction,CS-,-16.827888387697016
25,amyg_cem,acquisition,CS+,-14.197702455409301
25,amyg_cem,acquisition,CS-,25.175891565009092
25,amyg_cem,baseline,CS+,35.27700349363102
25,amyg_cem,baseline,CS-,-39.03442124371556
25,amyg_cem,extinction,CS+,23.302704480277015
