roi,cope,subject,phase,beta
hc_tail,CS-A,21,memory_run-02,0.06422834
hc_tail,CS-A,21,memory_run-03,0.29734275
hc_tail,CS-A,23,memory_run-01,0.13641366
hc_tail,CS-A,23,memory_run-02,0.29461086
hc_tail,CS-A,23,memory_run-03,0.30772945
hc_tail,CS-A,24,memory_run-01,-0.026542699
hc_tail,CS-A,24,memory_run-02,-0.23383702
hc_tail,CS-A,24,memory_run-03,-0.173786
hc_tail,CS-A,25,memory_run-01,0.11287955
hc_tail,CS-A,25,memory_run-02,0.120376185
hc_tail,CS-A,25,memory_run-03,-0.17095809
hc_tail,CS-A,26,memory_run-01,-0.115504704
hc_tail,CS-A,26,memory_run-02,-0.20771208
hc_tail,CS-A,26,memory_run-03,0.08376429
hc_tail,CS-A,101,memory_run-01,-0.2026562
hc_tail,CS-A,101,memory_run-02,0.27860254
hc_tail,CS-A,101,memory_run-03,0.1478965
hc_tail,CS-A,102,memory_run-01,0.1620068
hc_tail,CS-A,102,memory_run-02,0.23510166
hc_tail,CS-A,102,memory_run-03,0.09210169
hc_tail,CS-A,103,memory_run-01,0.040521722
hc_tail,CS-A,103,memory_run-02,-0.21028675
hc_tail,CS-A,103,memory_run-03,-0.14186129
hc_tail,CS-A,104,memory_run-01,0.13461113
hc_tail,CS-A,104,memory_run-02,0.07566708
hc_tail,CS-A,104,memory_run-03,0.11330509
hc_tail,CS-A,105,memory_run-01,0.28072873
hc_tail,CS-A,105,memory_run-02,0.08898238
hc_tail,CS-A,105,memory_run-03,0.044496704
hc_tail,CS-A,106,memory_run-01,0.07280979
hc_tail,CS-A,106,memory_run-02,0.42045495
hc_tail,CS-A,106,memory_run-03,-0.17800996
hc_tail,CS-A,107,memory_run-01,-0.15404558
hc_tail,CS-A,107,memory_run-02,0.053028975
hc_tail,CS-A,107,memory_run-03,-0.049632512
hc_tail,CS-A,108,memory_run-01,-0.03226735
