group,memory_phase,roi,condition,el,subject,rsa
healthy,encoding,hc_head,CS+,early,18,0.09196919241367132
healthy,encoding,hc_head,CS+,early,19,0.02337015668889283
healthy,encoding,hc_head,CS+,early,21,-0.00452516667112848
healthy,encoding,hc_head,CS+,early,23,0.032907045578434206
healthy,encoding,hc_head,CS+,early,24,0.1627684062551062
healthy,encoding,hc_head,CS+,early,25,0.16791978915100803
healthy,encoding,hc_head,CS+,early,26,0.14494865741240037
healthy,encoding,amyg_bla,CS+,early,1,-0.030961284904472856
healthy,encoding,amyg_bla,CS+,early,2,0.2905889943169408
healthy,encoding,amyg_bla,CS+,early,3,-0.027811444424260843
healthy,encoding,amyg_bla,CS+,early,4,0.039260188228530155
healthy,encoding,amyg_bla,CS+,early,5,-0.013998820860706541
healthy,encoding,amyg_bla,CS+,early,6,0.10497425411025381
healthy,encoding,amyg_bla,CS+,early,7,0.06233455969928782
healthy,encoding,amyg_bla,CS+,early,8,-0.02660200288546363
healthy,encoding,amyg_bla,CS+,early,9,-0.007134284379899237
healthy,encoding,amyg_bla,CS+,early,10,0.15509550132367217
healthy,encoding,amyg_bla,CS+,early,12,-0.009904988308892618
healthy,encoding,amyg_bla,CS+,early,13,0.03160016517744857
healthy,encoding,amyg_bla,CS+,early,14,-0.004924701775037427
healthy,encoding,amyg_bla,CS+,early,15,0.29493973004728957
healthy,encoding,amyg_bla,CS+,early,16,-0.019892249249869917
healthy,encoding,amyg_bla,CS+,early,17,0.08115515065834325
healthy,encoding,amyg_bla,CS+,early,18,0.023826595494278027
healthy,encoding,amyg_bla,CS+,early,19,0.0562316885339083
healthy,encoding,amyg_bla,CS+,early,21,-0.006037399799915127
healthy,encoding,amyg_bla,CS+,early,23,0.01810769254150167
healthy,encoding,amyg_bla,CS+,early,24,0.015641859827382212
healthy,encoding,amyg_bla,CS+,early,25,0.10859408046964047
healthy,encoding,amyg_bla,CS+,early,26,0.12396938487327293
healthy,encoding,amyg_cem,CS+,early,1,-0.04003030254867308
healthy,encoding,amyg_cem,CS+,early,2,0.013961432082608015
healthy,encoding,amyg_cem,CS+,early,3,-0.02800602987456731
healthy,encoding,amyg_cem,CS+,early,4,0.054877807453811274
healthy,encoding,amyg_cem,CS+,early,5,0.06487024714947037
healthy,encoding,amyg_cem,CS+,early,6,-0.05834800653885708
healthy,encoding,amyg_cem,CS+,early,7,0.7085973566319347
healthy,encoding,amyg_cem,CS+,early,8,0.2617507753590883
healthy,encoding,amyg_cem,CS+,early,9,0.0031032834597410686
healthy,encoding,amyg_cem,CS+,early,10,0.08401000965327292
healthy,encoding,amyg_cem,CS+,early,12,0.039815095899389745
healthy,encoding,amyg_cem,CS+,early,13,0.024601614725917008
healthy,encoding,amyg_cem,CS+,early,14,0.10221189085695695
healthy,encoding,amyg_cem,CS+,early,15,0.0876848814687397
healthy,encoding,amyg_cem,CS+,early,16,-0.024967632311014367
healthy,encoding,amyg_cem,CS+,early,17,0.047364647725141006
healthy,encoding,amyg_cem,CS+,early,18,0.019206353931504626
healthy,encoding,amyg_cem,CS+,early,19,0.016338005470601505
healthy,encoding,amyg_cem,CS+,early,21,-0.01852821291379082
healthy,encoding,amyg_cem,CS+,early,23,-0.015539198210351447
healthy,encoding,amyg_cem,CS+,early,24,-0.04707624473016464
healthy,encoding,amyg_cem,CS+,early,25,0.2678148300445227
healthy,encoding,amyg_cem,CS+,early,26,-0.020622805243664288
healthy,encoding,A32sg,CS-,early,1,-0.0009891266315044211
healthy,encoding,A32sg,CS-,early,2,0.006070563543845521
healthy,encoding,A32sg,CS-,early,3,-0.0017463869735510123
healthy,encoding,A32sg,CS-,early,4,0.04527838091157232
healthy,encoding,A32sg,CS-,early,5,0.22288980812363668
healthy,encoding,A32sg,CS-,early,6,0.27273399975476487
healthy,encoding,A32sg,CS-,early,7,0.15266792783246896
healthy,encoding,A32sg,CS-,early,8,0.08523638306882912
healthy,encoding,A32sg,CS-,early,9,0.16073121114937805
healthy,encoding,A32sg,CS-,early,10,0.008093632685133339
healthy,encoding,A32sg,CS-,early,12,0.026526137684381845
healthy,encoding,A32sg,CS-,early,13,0.015693806030797237
healthy,encoding,A32sg,CS-,early,14,0.2560651474219497
healthy,encoding,A32sg,CS-,early,15,0.0015071853487836316
