subject,phase,block,condition,hc_cr,hc_hr,lc_cr,lc_hr
5,extinction,3,CS+,0.3333333333333333,0.75,0.5625,1.0
5,extinction,3,CS-,0.4791666666666667,0.75,0.4791666666666667,0.75
5,extinction,4,CS+,0.08333333333333331,0.5,0.0625,0.5
5,extinction,4,CS-,0.7291666666666667,1.0,0.7291666666666667,1.0
5,extinction,5,CS+,0.5833333333333333,1.0,0.5625,1.0
5,extinction,5,CS-,0.4791666666666667,0.75,0.4791666666666667,0.75
5,extinction,6,CS+,0.08333333333333331,0.5,0.0625,0.5
5,extinction,6,CS-,0.4791666666666667,0.75,0.4791666666666667,0.75
5,fear_conditioning,1,CS+,0.3333333333333333,0.75,0.3125,0.75
5,fear_conditioning,1,CS-,0.22916666666666669,0.5,0.22916666666666669,0.5
5,fear_conditioning,2,CS+,0.3333333333333333,0.75,0.5625,1.0
5,fear_conditioning,2,CS-,0.7291666666666667,1.0,0.7291666666666667,1.0
5,fear_conditioning,3,CS+,0.5833333333333333,1.0,0.5625,1.0
5,fear_conditioning,3,CS-,0.7291666666666667,1.0,0.7291666666666667,1.0
5,fear_conditioning,4,CS+,0.5833333333333333,1.0,0.5625,1.0
5,fear_conditioning,4,CS-,0.4791666666666667,0.75,0.4791666666666667,0.75
5,fear_conditioning,5,CS+,0.5833333333333333,1.0,0.5625,1.0
5,fear_conditioning,5,CS-,0.4791666666666667,0.75,0.4791666666666667,0.75
5,fear_conditioning,6,CS+,0.5833333333333333,1.0,0.5625,1.0
5,fear_conditioning,6,CS-,-0.020833333333333315,0.25,-0.020833333333333315,0.25
6,baseline,1,CS+,0.4375,0.5,0.6666666666666667,1.0
6,baseline,1,CS-,-0.020833333333333332,0.0,0.3958333333333333,0.5
6,baseline,2,CS+,0.4375,0.5,0.6666666666666667,1.0
6,baseline,2,CS-,0.22916666666666666,0.25,0.6458333333333334,0.75
6,baseline,3,CS+,-0.0625,0.0,0.16666666666666669,0.5
6,baseline,3,CS-,-0.020833333333333332,0.0,0.3958333333333333,0.5
6,baseline,4,CS+,-0.0625,0.0,-0.08333333333333331,0.25
6,baseline,4,CS-,0.22916666666666666,0.25,0.3958333333333333,0.5
6,baseline,5,CS+,0.4375,0.5,0.6666666666666667,1.0
6,baseline,5,CS-,0.22916666666666666,0.25,0.14583333333333331,0.25
6,baseline,6,CS+,0.4375,0.5,0.6666666666666667,1.0
6,baseline,6,CS-,0.22916666666666666,0.25,0.6458333333333334,0.75
6,extinction,1,CS+,0.4375,0.5,0.4166666666666667,0.75
6,extinction,1,CS-,-0.020833333333333332,0.0,0.3958333333333333,0.5
6,extinction,2,CS+,0.6875,0.75,0.6666666666666667,1.0
6,extinction,2,CS-,-0.020833333333333332,0.0,0.3958333333333333,0.5
6,extinction,3,CS+,0.4375,0.5,0.6666666666666667,1.0
6,extinction,3,CS-,-0.020833333333333332,0.0,0.3958333333333333,0.5
6,extinction,4,CS+,0.1875,0.25,0.16666666666666669,0.5
6,extinction,4,CS-,0.22916666666666666,0.25,0.3958333333333333,0.5
6,extinction,5,CS+,0.4375,0.5,0.4166666666666667,0.75
6,extinction,5,CS-,0.22916666666666666,0.25,0.3958333333333333,0.5
6,extinction,6,CS+,0.9375,1.0,0.6666666666666667,1.0
6,extinction,6,CS-,-0.020833333333333332,0.0,-0.10416666666666667,0.0
6,fear_conditioning,1,CS+,0.6875,0.75,0.6666666666666667,1.0
6,fear_conditioning,1,CS-,0.4791666666666667,0.5,0.8958333333333334,1.0
6,fear_conditioning,2,CS+,0.9375,1.0,0.6666666666666667,1.0
6,fear_conditioning,2,CS-,-0.020833333333333332,0.0,0.3958333333333333,0.5
