"","phase","group","hc_tail_ers","yvar","SE","df","LCL","UCL","tvar","xvar"
"120","extinction","ptsd",0.09,0.00634373349856061,0.0444005072464698,Inf,-0.0806796615998299,0.0933671285969511,"extinction ptsd",0.09
"121","acquisition","healthy",0.1,-0.0233305761379132,0.0443266865661073,Inf,-0.110209285361479,0.0635481330856525,"acquisition healthy",0.1
"122","extinction","healthy",0.1,-0.0116849012836321,0.044607690840721,Inf,-0.0991143687649425,0.0757445661976784,"extinction healthy",0.1
"123","acquisition","ptsd",0.1,-0.062884390982314,0.0442235523212653,Inf,-0.149560960800417,0.0237921788357887,"acquisition ptsd",0.1
"124","extinction","ptsd",0.1,0.00554895671364884,0.0444557485217117,Inf,-0.0815827092946758,0.0926806227219734,"extinction ptsd",0.1
"125","acquisition","healthy",0.11,-0.0228077945825703,0.0443827056853033,Inf,-0.109796299262206,0.0641807100970654,"acquisition healthy",0.11
"126","extinction","healthy",0.11,-0.012553836580998,0.0446958511604665,Inf,-0.100156095113875,0.0750484219518791,"extinction healthy",0.11
"127","acquisition","ptsd",0.11,-0.0641518709915234,0.0442601897394474,Inf,-0.15090024882975,0.0225965068467026,"acquisition ptsd",0.11
"128","extinction","ptsd",0.11,0.00475417992873707,0.0445172057653264,Inf,-0.0824979400636615,0.0920062999211357,"extinction ptsd",0.11
"129","acquisition","healthy",0.12,-0.0222850130272274,0.0444462940433686,Inf,-0.109398148598507,0.0648281225440523,"acquisition healthy",0.12
"130","extinction","healthy",0.12,-0.013422771878364,0.0447913570268127,Inf,-0.101212218469592,0.074366674712864,"extinction healthy",0.12
"131","acquisition","ptsd",0.12,-0.0654193510007328,0.0443034719970349,Inf,-0.152252560505,0.0214138585035343,"acquisition ptsd",0.12
"132","extinction","ptsd",0.12,0.0039594031438253,0.0445848532724292,Inf,-0.0834253035261388,0.0913441098137894,"extinction ptsd",0.12
"133","acquisition","healthy",0.13,-0.0217622314718844,0.0445174192047776,Inf,-0.10901476979792,0.0654903068541514,"acquisition healthy",0.13
"134","extinction","healthy",0.13,-0.0142917071757299,0.044894161560005,Inf,-0.102282646949462,0.0736992325980024,"extinction healthy",0.13
"135","acquisition","ptsd",0.13,-0.0666868310099422,0.0443533796409271,Inf,-0.153617857698791,0.0202441956789069,"acquisition ptsd",0.13
"136","extinction","ptsd",0.13,0.00316462635891353,0.0446586629125926,Inf,-0.0843647445474825,0.0906939972653096,"extinction ptsd",0.13
"137","acquisition","healthy",0.14,-0.0212394499165415,0.0445960451087449,Inf,-0.108646092182605,0.066167192349522,"acquisition healthy",0.14
"138","extinction","healthy",0.14,-0.0151606424730959,0.0450042147423534,Inf,-0.103367282520615,0.0730459975744233,"extinction healthy",0.14
