subject,encode_phase,condition,source_memory,run,roi,pe
4,baseline,CSp,acquisition,memory_run-02,rsp,58.32923
4,baseline,CSp,acquisition,memory_run-03,dACC,-32.644924
4,baseline,CSp,acquisition,memory_run-03,thl,75.77265
4,baseline,CSp,acquisition,memory_run-03,lOFC,138.42601000000002
4,baseline,CSp,acquisition,memory_run-03,rsp,-1.9390638
4,baseline,CSp,extinction,memory_run-01,dACC,31.81276
4,baseline,CSp,extinction,memory_run-01,thl,-79.80037
4,baseline,CSp,extinction,memory_run-01,lOFC,10.398393
4,baseline,CSp,extinction,memory_run-01,rsp,57.53603
4,baseline,CSp,extinction,memory_run-02,dACC,0.9365707
4,baseline,CSp,extinction,memory_run-02,thl,-100.83646
4,baseline,CSp,extinction,memory_run-02,lOFC,-68.86465
